reclon,reclat,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-78.80615521,42.94708148,0,0,177,209.2609138,2020/10/14 06:28:52+00,,,,,,,,,,,,,,,,,,,,,
-78.80616744,42.9471138,0,0,178,209.2921731,2020/10/14 07:18:23+00,,,,,,,,,,,,,,,,,,,,,
-78.80618036,42.9470894,0,0,179,209.2474949,2020/10/14 08:01:15+00,,,,,,,,,,,,,,,,,,,,,
-78.80617817,42.94706539,0,0,180,209.3821461,2020/10/14 08:05:36+00,,,,,,,,,,,,,,,,,,,,,
-78.80620536,42.94708755,0,0,181,209.4787845,2020/10/14 08:35:42+00,,,,,,,,,,,,,,,,,,,,,
-78.80622115,42.94707185,0,0,182,209.3635509,2020/10/14 08:35:45+00,,,,,,,,,,,,,,,,,,,,,
-78.80616116,42.94707332,0,0,183,209.3041459,2020/10/14 08:42:13+00,,,,,,,,,,,,,,,,,,,,,
-78.80621641,42.94711487,0,0,184,209.4028505,2020/10/14 08:44:27+00,,,,,,,,,,,,,,,,,,,,,
-78.80617914,42.9470668,0,0,185,209.3541924,2020/10/14 08:57:04+00,,,,,,,,,,,,,,,,,,,,,
-78.80619577,42.94710666,0,0,186,209.2914372,2020/10/14 09:38:50+00,,,,,,,,,,,,,,,,,,,,,
-78.80623568,42.9470903,0,0,187,209.4524773,2020/10/14 09:59:31+00,,,,,,,,,,,,,,,,,,,,,
-78.80622489,42.94710965,0,0,188,208.9608967,2020/10/14 10:07:10+00,,,,,,,,,,,,,,,,,,,,,
-78.80622296,42.94708741,0,0,189,209.3281724,2020/10/14 10:17:38+00,,,,,,,,,,,,,,,,,,,,,
-78.8062517,42.94709342,0,0,190,209.2568638,2020/10/14 10:41:03+00,,,,,,,,,,,,,,,,,,,,,
-78.80620254,42.9471183,0,0,191,209.2493785,2020/10/14 10:55:41+00,,,,,,,,,,,,,,,,,,,,,
-78.8061584,42.94708539,0,0,192,209.4589623,2020/10/14 11:00:48+00,,,,,,,,,,,,,,,,,,,,,
-78.80622834,42.94713367,0,0,193,209.1210797,2020/10/14 11:01:30+00,,,,,,,,,,,,,,,,,,,,,
-78.80623974,42.94711227,0,0,194,209.8991631,2020/10/14 11:01:48+00,,,,,,,,,,,,,,,,,,,,,
-78.80623697,42.94713581,0,0,195,209.3830698,2020/10/14 11:01:51+00,,,,,,,,,,,,,,,,,,,,,
-78.80622904,42.94711671,0,0,196,209.518508,2020/10/14 11:01:58+00,,,,,,,,,,,,,,,,,,,,,
-78.80620497,42.9471227,0,0,197,209.2189959,2020/10/14 11:02:02+00,,,,,,,,,,,,,,,,,,,,,
-78.80624537,42.94713716,0,0,198,209.038689,2020/10/14 11:02:08+00,,,,,,,,,,,,,,,,,,,,,
-78.80622343,42.94711857,0,0,199,209.2145311,2020/10/14 11:02:10+00,,,,,,,,,,,,,,,,,,,,,
-78.80620849,42.9471033,0,0,200,209.1135569,2020/10/14 11:02:16+00,,,,,,,,,,,,,,,,,,,,,
-78.80620734,42.94713911,0,0,201,209.352675,2020/10/14 11:02:23+00,,,,,,,,,,,,,,,,,,,,,
-78.80620111,42.94711702,0,0,202,209.3582004,2020/10/14 11:02:35+00,,,,,,,,,,,,,,,,,,,,,
-78.80617936,42.94713515,0,0,203,209.2173327,2020/10/14 11:02:44+00,,,,,,,,,,,,,,,,,,,,,
-78.80620618,42.9471361,0,0,204,209.2249852,2020/10/14 11:02:45+00,,,,,,,,,,,,,,,,,,,,,
-78.80622191,42.94712177,0,0,205,209.0701427,2020/10/14 11:02:46+00,,,,,,,,,,,,,,,,,,,,,
-78.80625043,42.94714263,0,0,206,209.1055017,2020/10/14 11:02:53+00,,,,,,,,,,,,,,,,,,,,,
-78.80625554,42.94712452,0,0,207,209.0850727,2020/10/14 11:02:56+00,,,,,,,,,,,,,,,,,,,,,
-78.80622379,42.94712073,0,0,208,209.2379248,2020/10/14 11:04:25+00,,,,,,,,,,,,,,,,,,,,,
-78.80624505,42.94710703,0,0,209,209.2984529,2020/10/14 11:05:45+00,,,,,,,,,,,,,,,,,,,,,
-78.8062167,42.94713059,0,0,210,209.2175251,2020/10/14 11:08:15+00,,,,,,,,,,,,,,,,,,,,,
-78.80621328,42.94711107,0,0,211,209.1665414,2020/10/14 11:08:25+00,,,,,,,,,,,,,,,,,,,,,
-78.80622137,42.94713229,0,0,212,209.1169321,2020/10/14 11:08:44+00,,,,,,,,,,,,,,,,,,,,,
-78.80621289,42.94711167,0,0,213,209.2931033,2020/10/14 11:08:55+00,,,,,,,,,,,,,,,,,,,,,
-78.80623638,42.94712755,0,0,214,209.431199,2020/10/14 11:09:15+00,,,,,,,,,,,,,,,,,,,,,
-78.8062111,42.94712278,0,0,215,209.1680556,2020/10/14 11:10:09+00,,,,,,,,,,,,,,,,,,,,,
-78.80620373,42.94714167,0,0,216,209.3682883,2020/10/14 11:11:12+00,,,,,,,,,,,,,,,,,,,,,
-78.80620618,42.94712158,0,0,217,209.0213024,2020/10/14 11:11:25+00,,,,,,,,,,,,,,,,,,,,,
-78.80621273,42.94714134,0,0,218,208.6593283,2020/10/14 11:12:02+00,,,,,,,,,,,,,,,,,,,,,
-78.8062405,42.94711421,0,0,219,209.2116635,2020/10/14 11:19:42+00,,,,,,,,,,,,,,,,,,,,,
-78.80621213,42.94711312,0,0,220,206.3475095,2020/10/14 11:19:53+00,,,,,,,,,,,,,,,,,,,,,
